tag,summary,url,_collected_at,_news_id
华尔街原声,知名投资人比尔·米勒（Bill Miller）认为，高估值的科技巨头面临巨大的不确定性，市场增长动力可能会向更广泛的行业扩散,https://database.caixin.com/2026-02-10/102413322.html?cxapp_link=true,2026-02-11 07:01:37.168961,05f221a126c6f9c22b5a81c26036487f
市场动态,随着越来越多全球投资者对亚洲最大市场产生兴趣，量化对冲基金巨头Qube Research & Technologies旗下中国纯做多股票基金的资产规模过去一年增长了10倍以上,https://database.caixin.com/2026-02-10/102413309.html?cxapp_link=true,2026-02-11 07:01:37.168961,79d1468c58e4f65ab9d516f464372936
市场动态,,https://database.caixin.com/2026-02-10/102413307.html?cxapp_link=true,2026-02-11 07:01:37.168961,91fa557d6e56cd1c9f3be5c7f3a0c804
市场动态,基金经理们表示，尽管韩国股市已经涨了1.7万亿美元，但其相对于同类市场的长期折价仍未消失，企业盈利的增长状况支持这一傲视全球的涨势延续下去,https://database.caixin.com/2026-02-10/102413304.html?cxapp_link=true,2026-02-11 07:01:37.168961,f2a97eeb0cb6511f4238517b88eafe51
市场动态,台积电1月份营收创下数月以来最快增速，显示人工智能(AI)泡沫担忧犹存之际全球AI支出依然强劲,https://database.caixin.com/2026-02-10/102413302.html?cxapp_link=true,2026-02-11 07:01:37.168961,97be59bc5d680a59ee64a196a0906d3b
今日热点,春节档临近，影视板块集体爆发,https://database.caixin.com/2026-02-10/102413267.html?cxapp_link=true,2026-02-11 07:01:37.168961,efc5154d83814684b50f98278e8eac84
市场动态,在全球贸易活动保持韧性之际，新加坡预测今年其经济增长速度将超过预期,https://database.caixin.com/2026-02-10/102413153.html?cxapp_link=true,2026-02-11 07:01:37.168961,a4caa1faa9abd2c43e6452a3e6cfc78a
市场动态,中国自动驾驶初创公司小马智行与丰田汽车合作，推动自动驾驶大规模商业化运营,https://database.caixin.com/2026-02-10/102413151.html?cxapp_link=true,2026-02-11 07:01:37.168961,111428f2ceceead105fac53997f3031a
市场动态,黄金价格在连续上涨两日后回落，因投资者在震荡市场中获利了结。此前黄金遭遇历史性暴跌，市场仍在试图寻找底部,https://database.caixin.com/2026-02-10/102413149.html?cxapp_link=true,2026-02-11 07:01:37.168961,f22a0566d067d3cb62049b525b9d5270
市场动态,在过去几个月里，存储芯片价格暴涨，在股市赢家和输家之间划出一道巨大鸿沟，而且这种趋势目前还看不到任何结束的迹象,https://database.caixin.com/2026-02-10/102413141.html?cxapp_link=true,2026-02-11 07:01:37.168961,10ac62cd668ebfe80362dd03f3f2a3bb
权益周观察,此轮剧烈调整主要源于前期获利盘回吐、外部市场扰动以及节前资金避险情绪升温等多重因素叠加,https://database.caixin.com/2026-02-10/102413124.html?cxapp_link=true,2026-02-11 07:01:37.168961,34e351f3d50e996cc68b639cee8741a6
市场动态,这家谷歌母公司周一发行了其史上最大规模的美元债，筹资200亿美元，远高于最初预计的150亿美元，吸引逾1000亿美元认购,https://database.caixin.com/2026-02-10/102413120.html?cxapp_link=true,2026-02-11 07:01:37.168961,6376718f68b951e2dd0750d4ee4d074a
